id,unit,unit_name,parts,email,director,address
1,ΓΔΑΕΦΚ,"{""name"":""ΓΕΝΙΚΗ ΔΙΕΥΘΥΝΣΗ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ"",""prop"":""τη""}",,gdaefk@civilprotection.gr,,
2,ΔΑΕΦΚ-ΚΕ,"{""name"":""ΔΙΕΥΘΥΝΣΗ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ ΚΕΝΤΡΙΚΗΣ ΕΛΛΑΔΟΣ"",""prop"":""τη""}","{""Γ"":{""tmima"":""ΤΜΗΜΑ ΥΛΟΠΟΙΗΣΗΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ"",""manager"":{""name"":""ΒΑΣΙΛΙΚΗ ΚΟΥΣΗ"",""order"":""ΜΕ ΕΝΤΟΛΗ ΥΦΥΠΟΥΡΓΟΥ"",""title"":""Η  ΠΡΟΪΣΤΑΜΕΝΗ ΤΜΗΜΑΤΟΣ ΥΛΟΠΟΙΗΣΗΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ"",""degree"":"" ΑΡΧΙΤΕΚΤΩΝ ΜΗΧΑΝΙΚΟΣ με Α'β."",""prepose"":""Η""}}}",daefkke@civilprotection.gr,"{""name"":""ΑΓΓΕΛΟΣ ΣΑΡΙΔΑΚΗΣ"",""order"":""ΜΕ ΕΝΤΟΛΗ ΑΝΑΠΛ. ΠΡΟΪΣΤΑΜΕΝΟΥ Γ.Δ.Α.Ε.Φ.Κ."",""title"":""Ο ΑΝΑΠΛ. ΠΡΟΪΣΤΑΜΕΝΟΣ Δ.Α.Ε.Φ.Κ.-Κ.Ε."",""degree"":"" ΠΟΛΙΤΙΚΟΣ ΜΗΧΑΝΙΚΟΣ με Α'β."",""prepose"":""Ο""}","{""tk"":""11523"",""region"":""Μαρούσι"",""address"":""Δημοκρίτου 2""}"
3,ΔΑΕΦΚ-ΑΚ,"{""name"":""ΔΙΕΥΘΥΝΣΗ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ ΑΙΓΑΙΟΥ ΚΑΙ ΚΡΗΤΗΣ"",""prop"":""τη""}","{""Γ"":{""tmima"":""ΤΜΗΜΑ ΥΛΟΠΟΙΗΣΗΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ"",""manager"":{""name"":""ΒΑΣΙΛΙΚΗ ΚΟΥΣΗ"",""order"":""ΜΕ ΕΝΤΟΛΗ ΥΦΥΠΟΥΡΓΟΥ"",""title"":""Η  ΠΡΟΪΣΤΑΜΕΝΗ ΤΜΗΜΑΤΟΣ ΥΛΟΠΟΙΗΣΗΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ"",""degree"":"" ΑΡΧΙΤΕΚΤΩΝ ΜΗΧΑΝΙΚΟΣ με Α'β."",""prepose"":""Η""}}}",daefkak@civilprotection.gr,"{""name"":""ΠΑΥΛΗΣ Ν. ΙΩΑΝΝΗΣ"",""order"":""ΜΕ ΕΝΤΟΛΗ ΥΦΥΠΟΥΡΓΟΥ"",""title"":""Ο  ΑΝΑΠΛΗΡΩΤΗΣ ΔΙΕΥΘΥΝΤΗΣ  ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ ΑΙΓΑΙΟΥ ΚΑΙ ΚΡΗΤΗΣ"",""degree"":"" ΠΟΛΙΤΙΚΟΣ ΜΗΧΑΝΙΚΟΣ με Α'β."",""prepose"":""Ο""}","{""tk"":""11523"",""region"":""Μαρούσι"",""address"":""Δημοκρίτου 2""}"
4,ΔΑΕΦΚ-ΒΕ,"{""name"":""ΔΙΕΥΘΥΝΣΗ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ ΒΟΡΕΙΟΥ ΕΛΛΑΔΟΣ"",""prop"":""τη""}",,daefkbe@civilprotection.gr,,
5,ΔΑΕΦΚ-ΔΕ,"{""name"":""ΔΙΕΥΘΥΝΣΗ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ ΔΥΤΙΚΗΣ ΕΛΛΑΔΟΣ"",""prop"":""τη""}",,daefkde@civilprotection.gr,"{""name"":""ΙΩΑΝΝΗΣ ΣΩΤΗΡΟΠΟΥΛΟΣ"",""order"":""ΜΕ ΕΝΤΟΛΗ ΑΝΑΠΛ. ΠΡΟΪΣΤΑΜΕΝΟΥ Γ.Δ.Α.Ε.Φ.Κ."",""title"":""Ο ΑΝΑΠΛ. ΠΡΟΪΣΤΑΜΕΝΟΣ Δ.Α.Ε.Φ.Κ.-Δ.Ε."",""degree"":"" ΠΟΛΙΤΙΚΟΣ ΜΗΧΑΝΙΚΟΣ με Α'β."",""prepose"":""Ο""}","{""tk"":""26226"",""region"":""Πάτρα"",""address"":""Καλαβρύτων 52-56 & Φλέμινγκ""}"
6,ΤΑΕΦΚ-ΔΑ,"{""name"":""ΤΟΜΕΑΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"",""prop"":""τον""}",,taefkda@civilprotection.gr,,
7,ΤΑΕΦΚ-ΑΑ,"{""name"":""ΤΟΜΕΑΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ"",""prop"":""τον""}",,taefkaa@civilprotection.gr,,
8,ΤΑΕΦΚ ΧΑΛΚΙΔΙΚΗΣ,"{""name"":""ΤΟΜΕΑΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ ΠΕΡΙΦΕΡΕΙΑΣ ΧΑΛΚΙΔΙΚΗΣ"",""prop"":""τον""}",,taefkchalkidikis@civilprotection.gr,,
9,ΤΑΕΦΚ ΘΕΣΣΑΛΙΑΣ,"{""name"":""ΤΟΜΕΑΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ ΠΕΡΙΦΕΡΕΙΑΣ ΘΕΣΣΑΛΙΑΣ"",""prop"":""τον""}",,taefkthessalias@civilprotection.gr,,
10,ΤΑΕΦΚ ΧΑΝΙΩΝ,"{""name"":""ΤΟΜΕΑΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΕΠΙΠΤΩΣΕΩΝ ΦΥΣΙΚΩΝ ΚΑΤΑΣΤΡΟΦΩΝ ΝΟΜΟΥ ΧΑΝΙΩΝ"",""prop"":""τον""}",,taefkchanion@civilprotection.gr,,
