mis,e069,na271,na853,event_description,project_title,event_year,budget_e069,budget_na271,budget_na853,status,created_at,updated_at,id,event_type_id,inc_year,updates
56565,,,2024ΝΑ85300555,ΔΣΔΔΣ,ΔΣΔΣΔ,"[""2022""]",,,,Ενεργό,2025-09-05,2025-09-05,279,12,,[]
111111,,,222333333333,ddddd,ddd,"[""2022""]",,,111111111.00,Ενεργό,2025-09-15,2025-09-15,291,12,,[]
123456,,,czxczxc,sadasdasda,dasdadsad,[],,,111111111.00,Ενεργό,2025-09-15,2025-09-15,295,10,,[]
222222,,,2224545778,asdasdasdas,dasdsadsad,"[""2022""]",,,11111111.00,Ενεργό,2025-09-15,2025-09-15,297,10,,[]
231231,,,123123213,ασδασδ,δαδασδ,"[""2323""]",,,,Ενεργό,2025-09-10,2025-09-10,281,10,,[]
999999,,,eeeeeeeeeeeeeeeeeee,gggggggggggg,gggggggg,"[""2021""]",,,2222222.00,Ενεργό,2025-09-15,2025-09-15,299,12,,[]
5168550,,2022ΝΑ27100015,2024ΝΑ85300045,2020 πλημμύρα Τρίκαλα,Δωρεάν κρατική αρωγή για την αποκατάσταση των ζημιών σε κτίρια από την πλημμύρα της 07/07/2020 σε περιοχές του Δ. Τρικκαίων της Π.Ε. Τρικάλων της Π. Θεσσαλίας καθώς και δαπ. μετακ. μηχανικών,"[""2020""]",,,,Ενεργό,,2025-08-28,1,10,2022,[]
5168551,,2022ΝΑ27100000,2024ΝΑ85300053,2021 επιδότηση ενοικίου σεισμός Ηρακλείου (Αρκαλοχώρι),Επιδότηση ενοικίου/ συγκατοίκησης για την προσωρινή στέγαση των πληγέντων τα κτίρια των οποίων υπέστησαν βλάβες από τους σεισμούς της 24/07 και της 27/09/2021 σε περιοχές των Π.Ε. Ηρακλείου και Π.Ε. Λασιθίου της Π. Κρήτης,"[""2021""]",,16560000.00,16305572.76,Ενεργό,,2025-08-28,90,7,2022,[]
5173997,,2022ΝΑ27100028,2024ΝΑ85300016,2021 πλημμύρα Δ. Πάτμου,Δωρεάν κρατική αρωγή για την αποκατάσταση των ζημιών σε κτίρια από την πλημμύρα των 01/02 και 02/02/2021 σε περιοχές των Δ. Πάτμου της Π.Ε. Καλύμνου τη Π. Νοτ. Αιγαίου καθώς και δαπ. μετακ. μηχανικών,"[""2021""]",,189094.00,189094.00,Ενεργό,,2025-08-28,24,10,2024,[]
5174065,,2022ΝΑ27100009,2024ΝΑ85300022,2018-2020 πλημμύρες Θεσσαλονίκη,"Δωρεάν κρατική αρωγή για την αποκατάσταση των ζημιών σε κτίρια από της πλημμύρες, α) της 10/05/2018 σε περιοχές των Δ. Θεσ/κης, Κορδελιού-Ευόσμου, Αμπελοκήπων-Μενεμένης, β) από την 26/09 έως την 28/06/2018 σε περιοχές του Δ. Βόλβης, γ) της 19/09/2019 σε περιοχές των Δ. Λαγκαδά και Π. Μελά, δ) της 20/11/2019 σε περιοχές του Δ. Χαλκηδόνος και ε) της 07/08/2020 σε περιοχές του Δ. Λαγκαδά, της Π.Ε. Θεσ/κης της Π. Κεντ. Μακεδονίας καθώς και δαπ. μετακ. μηχανικών","[""2018-2020""]",,2924993.00,2888005.69,Ενεργό,,2025-08-28,87,10,2024,[]
5174076,,2022ΝΑ27100012,2024ΝΑ85300018,2021 πλημμύρα Αγρίνιο,Δωρεάν κρατική αρωγή για την αποκατάσταση των ζήμιών σε κτίρια από την πλημμύρα της 26/01/2021 σε περιοχές του Δ. Αγρινίου της Π.Ε. Αιτ/νιας της Π. Δυτ. Ελλάδας καθώς και δαπ. μετακ. μηχανικών,"[""2021""]",,300000.00,500000.00,Ενεργό,,2025-08-28,2,10,2024,[]
