id,na853,mis,proip,ethsia_pistosi,q1,q2,q3,q4,katanomes_etous,user_view,created_at,updated_at,last_quarter_check,sum
1371,2024ΝΑ85300045,5168550,0.00,11000.00,11000.00,0.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:14.96+00,2025-06-03 08:33:24.08878+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:24.006Z"",""ethsia_pistosi"":11000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":11000,""quarter_available"":11000}"
1385,2024ΝΑ85300053,5168551,0.00,300000.00,80000.00,80000.00,70000.00,70000.00,80000.00,0.00,2025-04-01 10:56:20.747+00,2025-06-03 08:32:03.633092+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:32:03.553Z"",""ethsia_pistosi"":280809.03,""current_quarter"":2,""katanomes_etous"":80000,""available_budget"":80000,""yearly_available"":280809.03,""quarter_available"":280809.03}"
1502,2024ΝΑ85300016,5173997,0.00,22000.00,22000.00,0.00,0.00,0.00,0.00,0.00,2025-04-01 11:54:26.327+00,2025-06-03 08:32:59.675078+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:32:59.584Z"",""ethsia_pistosi"":22000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":22000,""quarter_available"":22000}"
1515,2024ΝΑ85300022,5174065,0.00,30000.00,20000.00,10000.00,0.00,0.00,20000.00,0.00,2025-04-01 11:54:31.998+00,2025-06-03 08:33:05.656161+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:05.515Z"",""ethsia_pistosi"":94601.57,""current_quarter"":2,""katanomes_etous"":20000,""available_budget"":20000,""yearly_available"":94601.57,""quarter_available"":94601.57}"
1511,2024ΝΑ85300018,5174076,0.00,10000.00,10000.00,0.00,0.00,0.00,10000.00,0.00,2025-04-01 11:54:30.151+00,2025-06-03 08:33:03.6571+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:03.570Z"",""ethsia_pistosi"":22000,""current_quarter"":2,""katanomes_etous"":10000,""available_budget"":10000,""yearly_available"":22000,""quarter_available"":22000}"
1527,2024ΝΑ85300027,5174085,0.00,10000.00,10000.00,0.00,0.00,0.00,10000.00,5.00,2025-04-01 11:54:37.054+00,2025-06-03 08:33:10.783238+00,q2,"{""user_view"":5,""updated_at"":""2025-06-03T08:33:10.702Z"",""ethsia_pistosi"":20437.6,""current_quarter"":2,""katanomes_etous"":10000,""available_budget"":9995,""yearly_available"":20432.6,""quarter_available"":20432.6}"
1343,2024ΝΑ85300031,5174090,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:03.502+00,2025-06-03 08:33:12.536218+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:12.457Z"",""ethsia_pistosi"":44000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":44000,""quarter_available"":44000}"
1529,2024ΝΑ85300029,5174123,0.00,11000.00,11000.00,0.00,0.00,0.00,5000.00,0.00,2025-04-01 11:54:37.889+00,2025-06-03 08:33:11.663067+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:11.573Z"",""ethsia_pistosi"":11000,""current_quarter"":2,""katanomes_etous"":5000,""available_budget"":5000,""yearly_available"":11000,""quarter_available"":11000}"
1487,2024ΝΑ85300008,5174125,0.00,800000.00,170000.00,230000.00,200000.00,200000.00,170000.00,0.00,2025-04-01 11:54:19.93+00,2025-06-03 08:32:53.185873+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:32:53.105Z"",""ethsia_pistosi"":172163.16,""current_quarter"":2,""katanomes_etous"":170000,""available_budget"":170000,""yearly_available"":172163.16,""quarter_available"":172163.16}"
1348,2024ΝΑ85300036,5174126,0.00,11000.00,11000.00,0.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:05.536+00,2025-06-03 08:33:17.68793+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:17.608Z"",""ethsia_pistosi"":11000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":11000,""quarter_available"":11000}"
1510,2024ΝΑ85300017,5174127,0.00,100000.00,50000.00,50000.00,0.00,0.00,50000.00,0.00,2025-04-01 11:54:29.72+00,2025-06-03 08:33:00.110395+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:00.031Z"",""ethsia_pistosi"":110000,""current_quarter"":2,""katanomes_etous"":50000,""available_budget"":50000,""yearly_available"":110000,""quarter_available"":110000}"
1530,2024ΝΑ85300030,5174688,0.00,330000.00,330000.00,0.00,0.00,0.00,0.00,0.00,2025-04-01 11:54:38.345+00,2025-06-03 08:33:12.105651+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:12.025Z"",""ethsia_pistosi"":330000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":330000,""quarter_available"":330000}"
1347,2024ΝΑ85300035,5174689,0.00,20000.00,10000.00,10000.00,0.00,0.00,10000.00,0.00,2025-04-01 10:56:05.119+00,2025-06-03 08:33:17.272922+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:17.193Z"",""ethsia_pistosi"":49321.81,""current_quarter"":2,""katanomes_etous"":10000,""available_budget"":10000,""yearly_available"":49321.81,""quarter_available"":49321.81}"
1525,2024ΝΑ85300025,5174691,0.00,50000.00,5000.00,45000.00,0.00,0.00,5000.00,0.00,2025-04-01 11:54:36.225+00,2025-06-03 08:33:09.917025+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:09.837Z"",""ethsia_pistosi"":220000,""current_quarter"":2,""katanomes_etous"":5000,""available_budget"":5000,""yearly_available"":220000,""quarter_available"":220000}"
1473,2024ΝΑ85300001,5174692,0.00,20000.00,5000.00,5000.00,5000.00,5000.00,5000.00,4999.00,2025-04-01 11:54:13.829+00,2025-06-06 11:27:14.252313+00,q2,"{""user_view"":4999,""updated_at"":""2025-06-06T11:27:14.175Z"",""ethsia_pistosi"":20000,""current_quarter"":""q2"",""katanomes_etous"":5000,""available_budget"":1,""yearly_available"":15001,""quarter_available"":1}"
1384,2024ΝΑ85300052,5174694,0.00,200000.00,50000.00,30000.00,60000.00,60000.00,80000.00,2.00,2025-04-01 10:56:20.345+00,2025-06-03 08:31:59.781744+00,q2,"{""user_view"":2,""updated_at"":""2025-06-03T08:31:59.466Z"",""ethsia_pistosi"":497523.28,""current_quarter"":2,""katanomes_etous"":80000,""available_budget"":79998,""yearly_available"":497521.28,""quarter_available"":497521.28}"
1377,2024ΝΑ85300051,5174695,0.00,50000.00,50000.00,0.00,0.00,0.00,50000.00,0.00,2025-04-01 10:56:17.449+00,2025-06-03 08:31:59.131265+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:31:58.847Z"",""ethsia_pistosi"":110000,""current_quarter"":2,""katanomes_etous"":50000,""available_budget"":50000,""yearly_available"":110000,""quarter_available"":110000}"
1360,2024ΝΑ85300041,5174706,0.00,11000.00,11000.00,0.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:10.436+00,2025-06-03 08:33:22.355589+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:22.277Z"",""ethsia_pistosi"":11000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":11000,""quarter_available"":11000}"
1497,2024ΝΑ85300011,5174707,0.00,1300000.00,400000.00,400000.00,300000.00,200000.00,400000.00,0.00,2025-04-01 11:54:24.174+00,2025-06-03 08:32:57.474968+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:32:57.393Z"",""ethsia_pistosi"":856295.51,""current_quarter"":2,""katanomes_etous"":400000,""available_budget"":400000,""yearly_available"":856295.51,""quarter_available"":856295.51}"
1516,2024ΝΑ85300023,5174710,0.00,1100000.00,250000.00,300000.00,300000.00,250000.00,650000.00,0.00,2025-04-01 11:54:32.416+00,2025-06-03 08:33:06.082112+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:06.000Z"",""ethsia_pistosi"":2014116.6,""current_quarter"":2,""katanomes_etous"":550000,""available_budget"":550000,""yearly_available"":2014116.6,""quarter_available"":2014116.6}"
1514,2024ΝΑ85300021,5174711,0.00,1200000.00,300000.00,300000.00,300000.00,300000.00,300000.00,0.00,2025-04-01 11:54:31.549+00,2025-06-03 08:33:04.934451+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:04.859Z"",""ethsia_pistosi"":699329.44,""current_quarter"":2,""katanomes_etous"":300000,""available_budget"":300000,""yearly_available"":699329.44,""quarter_available"":699329.44}"
1512,2024ΝΑ85300019,5174712,0.00,200000.00,50000.00,50000.00,50000.00,50000.00,50000.00,0.00,2025-04-01 11:54:30.558+00,2025-06-03 08:33:04.09279+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:04.015Z"",""ethsia_pistosi"":346928.4,""current_quarter"":2,""katanomes_etous"":50000,""available_budget"":50000,""yearly_available"":346928.4,""quarter_available"":346928.4}"
1499,2024ΝΑ85300013,5174713,0.00,7000000.00,1500000.00,2500000.00,1500000.00,1500000.00,1500000.00,0.00,2025-04-01 11:54:25.055+00,2025-06-03 08:32:58.347545+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:32:58.260Z"",""ethsia_pistosi"":1821455.1,""current_quarter"":2,""katanomes_etous"":1500000,""available_budget"":1500000,""yearly_available"":1821455.1,""quarter_available"":1821455.1}"
1359,2024ΝΑ85300040,5174718,0.00,22000.00,22000.00,0.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:10.026+00,2025-06-03 08:33:21.936061+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:21.855Z"",""ethsia_pistosi"":22000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":22000,""quarter_available"":22000}"
1474,2024ΝΑ85300002,5174719,0.00,10000.00,10000.00,0.00,0.00,0.00,10000.00,0.00,2025-04-01 11:54:14.258+00,2025-06-03 08:32:47.622185+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:32:47.547Z"",""ethsia_pistosi"":55000,""current_quarter"":2,""katanomes_etous"":10000,""available_budget"":10000,""yearly_available"":55000,""quarter_available"":55000}"
1513,2024ΝΑ85300020,5174721,0.00,40000.00,25000.00,15000.00,0.00,0.00,25000.00,0.00,2025-04-01 11:54:31.037+00,2025-06-03 08:33:04.513885+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:04.431Z"",""ethsia_pistosi"":194602.38,""current_quarter"":2,""katanomes_etous"":25000,""available_budget"":25000,""yearly_available"":194602.38,""quarter_available"":194602.38}"
1374,2024ΝΑ85300048,5174722,0.00,50000.00,15000.00,35000.00,0.00,0.00,15000.00,0.00,2025-04-01 10:56:16.234+00,2025-06-03 08:31:57.037113+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:31:56.963Z"",""ethsia_pistosi"":17000.54,""current_quarter"":2,""katanomes_etous"":15000,""available_budget"":15000,""yearly_available"":17000.54,""quarter_available"":17000.54}"
1373,2024ΝΑ85300047,5174723,0.00,10000.00,10000.00,0.00,0.00,0.00,10000.00,0.00,2025-04-01 10:56:15.773+00,2025-06-03 08:31:56.622463+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:31:56.302Z"",""ethsia_pistosi"":30922.3,""current_quarter"":2,""katanomes_etous"":10000,""available_budget"":10000,""yearly_available"":30922.3,""quarter_available"":30922.3}"
1501,2024ΝΑ85300015,5180891,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-04-01 11:54:25.906+00,2025-06-03 08:32:59.221771+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:32:59.142Z"",""ethsia_pistosi"":0,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":0,""quarter_available"":0}"
1376,2024ΝΑ85300050,5185551,0.00,20000.00,20000.00,0.00,0.00,0.00,20000.00,0.00,2025-04-01 10:56:17.052+00,2025-06-03 08:31:58.300505+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:31:58.004Z"",""ethsia_pistosi"":21846.03,""current_quarter"":2,""katanomes_etous"":20000,""available_budget"":20000,""yearly_available"":21846.03,""quarter_available"":21846.03}"
1346,2024ΝΑ85300034,5185579,0.00,110000.00,110000.00,0.00,0.00,0.00,10000.00,0.00,2025-04-01 10:56:04.709+00,2025-06-03 08:33:16.856439+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:16.772Z"",""ethsia_pistosi"":110000,""current_quarter"":2,""katanomes_etous"":10000,""available_budget"":10000,""yearly_available"":110000,""quarter_available"":110000}"
1526,2024ΝΑ85300026,5185638,0.00,50000.00,0.00,50000.00,0.00,0.00,0.00,0.00,2025-04-01 11:54:36.639+00,2025-06-03 08:33:10.360443+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:10.271Z"",""ethsia_pistosi"":33000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":33000,""quarter_available"":33000}"
1372,2024ΝΑ85300046,5185646,0.00,10000.00,0.00,10000.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:15.365+00,2025-06-03 08:31:55.95485+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:31:55.680Z"",""ethsia_pistosi"":11000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":11000,""quarter_available"":11000}"
1500,2024ΝΑ85300014,5185773,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-04-01 11:54:25.475+00,2025-06-03 08:32:58.77736+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:32:58.697Z"",""ethsia_pistosi"":10000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":10000,""quarter_available"":10000}"
1375,2024ΝΑ85300049,5185847,0.00,50000.00,0.00,20000.00,20000.00,10000.00,0.00,0.00,2025-04-01 10:56:16.643+00,2025-06-03 08:31:57.449036+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:31:57.376Z"",""ethsia_pistosi"":55000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":55000,""quarter_available"":55000}"
1524,2024ΝΑ85300024,5185909,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-04-01 11:54:35.797+00,2025-06-03 08:33:06.497194+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:06.419Z"",""ethsia_pistosi"":55000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":55000,""quarter_available"":55000}"
1358,2024ΝΑ85300039,5185960,0.00,10000.00,10000.00,0.00,0.00,0.00,10000.00,0.00,2025-04-01 10:56:09.619+00,2025-06-03 08:33:21.50702+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:21.427Z"",""ethsia_pistosi"":33000,""current_quarter"":2,""katanomes_etous"":10000,""available_budget"":10000,""yearly_available"":33000,""quarter_available"":33000}"
1483,2024ΝΑ85300004,5188985,0.00,30000.00,15000.00,15000.00,0.00,0.00,15000.00,1317.00,2025-04-01 11:54:18.141+00,2025-06-06 10:42:24.697886+00,q2,"{""user_view"":1317,""updated_at"":""2025-06-06T10:42:24.628Z"",""ethsia_pistosi"":30000,""current_quarter"":""q2"",""katanomes_etous"":15000,""available_budget"":13683,""yearly_available"":28683,""quarter_available"":13683}"
1363,2024ΝΑ85300044,5188986,0.00,30000.00,15000.00,15000.00,0.00,0.00,15000.00,0.00,2025-04-01 10:56:11.659+00,2025-06-03 08:33:23.656403+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:23.574Z"",""ethsia_pistosi"":83088.9,""current_quarter"":2,""katanomes_etous"":15000,""available_budget"":15000,""yearly_available"":83088.9,""quarter_available"":83088.9}"
1349,2024ΝΑ85300037,5188987,0.00,10000.00,5000.00,5000.00,0.00,0.00,5000.00,0.00,2025-04-01 10:56:05.945+00,2025-06-03 08:33:18.113338+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:18.038Z"",""ethsia_pistosi"":11000,""current_quarter"":2,""katanomes_etous"":5000,""available_budget"":5000,""yearly_available"":11000,""quarter_available"":11000}"
1357,2024ΝΑ85300038,5188991,0.00,22000.00,22000.00,0.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:09.222+00,2025-06-03 08:33:18.534793+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:18.456Z"",""ethsia_pistosi"":22000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":22000,""quarter_available"":22000}"
1345,2024ΝΑ85300033,5188992,0.00,40000.00,20000.00,20000.00,0.00,0.00,20000.00,0.00,2025-04-01 10:56:04.316+00,2025-06-03 08:33:16.428395+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:16.348Z"",""ethsia_pistosi"":32577.06,""current_quarter"":2,""katanomes_etous"":20000,""available_budget"":20000,""yearly_available"":32577.06,""quarter_available"":32577.06}"
1528,2024ΝΑ85300028,5189045,0.00,11000.00,11000.00,0.00,0.00,0.00,0.00,0.00,2025-04-01 11:54:37.476+00,2025-06-03 08:33:11.21571+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:33:11.129Z"",""ethsia_pistosi"":11000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":11000,""quarter_available"":11000}"
1498,2024ΝΑ85300012,5189047,0.00,20000.00,20000.00,0.00,0.00,0.00,20000.00,0.00,2025-04-01 11:54:24.596+00,2025-06-03 08:32:57.904455+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:32:57.825Z"",""ethsia_pistosi"":28952.23,""current_quarter"":2,""katanomes_etous"":20000,""available_budget"":20000,""yearly_available"":28952.23,""quarter_available"":28952.23}"
1482,2024ΝΑ85300003,5189048,0.00,600000.00,200000.00,150000.00,150000.00,100000.00,200000.00,0.00,2025-04-01 11:54:17.709+00,2025-06-03 08:32:48.039853+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:32:47.959Z"",""ethsia_pistosi"":735185.4,""current_quarter"":2,""katanomes_etous"":200000,""available_budget"":200000,""yearly_available"":735185.4,""quarter_available"":735185.4}"
1484,2024ΝΑ85300005,5189050,0.00,100000.00,30000.00,30000.00,20000.00,20000.00,50000.00,0.00,2025-04-01 11:54:18.608+00,2025-06-03 08:32:51.886092+00,q2,"{""user_view"":0,""updated_at"":""2025-06-03T08:32:51.804Z"",""ethsia_pistosi"":101996.67,""current_quarter"":2,""katanomes_etous"":30000,""available_budget"":30000,""yearly_available"":101996.67,""quarter_available"":101996.67}"
