id,eidos_koinotitas,onoma_dimotikis_enotitas,eidos_neou_ota,onoma_neou_ota,perifereiaki_enotita,perifereia
1,ΔΗΜ. ΚΟΙΝΟΤ,ΔΟΞΑΤΟΥ,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
2,ΔΗΜ. ΚΟΙΝΟΤ,ΚΑΛΑΜΠΑΚΙΟΥ,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
3,ΔΗΜ. ΚΟΙΝΟΤ,ΔΡΑΜΑΣ,ΔΗΜΟΣ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
4,ΤΟΠ. ΚΟΙΝΟΤ,ΣΙΔΗΡΟΝΕΡΟΥ,ΔΗΜΟΣ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
5,ΔΗΜ. ΚΟΙΝΟΤ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
6,ΤΟΠ. ΚΟΙΝΟΤ,ΝΙΚΗΦΟΡΟΥ,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
7,ΤΟΠ. ΚΟΙΝΟΤ,ΠΑΡΑΝΕΣΤΙΟΥ,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
8,ΔΗΜ. ΚΟΙΝΟΤ,ΠΡΟΣΟΤΣΑΝΗΣ,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
9,ΤΟΠ. ΚΟΙΝΟΤ,ΣΙΤΑΓΡΩΝ,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,ΔΡΑΜΑΣ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
10,ΔΗΜ. ΚΟΙΝΟΤ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΔΗΜΟΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΕΒΡΟΥ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
