id,kodikos_dimotikis_enotitas,onoma_dimotikis_enotitas,kodikos_neou_ota,eidos_neou_ota,onoma_neou_ota,kodikos_perifereiakis_enotitas,perifereiaki_enotita,kodikos_perifereias,perifereia
1,900101,ΔΟΞΑΤΟΥ,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
2,900102,ΚΑΛΑΜΠΑΚΙΟΥ,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
3,900201,ΔΡΑΜΑΣ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
4,900202,ΣΙΔΗΡΟΝΕΡΟΥ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
5,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
6,900401,ΝΙΚΗΦΟΡΟΥ,9004,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
7,900402,ΠΑΡΑΝΕΣΤΙΟΥ,9004,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
8,900501,ΠΡΟΣΟΤΣΑΝΗΣ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
9,900502,ΣΙΤΑΓΡΩΝ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
10,900601,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,9006,ΔΗΜΟΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,102,ΕΒΡΟΥ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ
