id,na853,mis,proip,ethsia_pistosi,q1,q2,q3,q4,katanomes_etous,user_view,created_at,updated_at,last_quarter_check,sum,project_id
1336,2024ΝΑ85300062,5203810,0.00,22000.00,0.00,22000.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:00.609+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:10.825Z"",""ethsia_pistosi"":10000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":10000,""quarter_available"":10000}",111
1337,2024ΝΑ85300063,5203811,0.00,423118.87,0.00,423118.87,0.00,0.00,400000.00,0.00,2025-04-01 10:56:01.02+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:11.385Z"",""ethsia_pistosi"":1200000,""current_quarter"":2,""katanomes_etous"":400000,""available_budget"":400000,""yearly_available"":1200000,""quarter_available"":400000}",43
1338,2024ΝΑ85300064,5203814,0.00,215498.68,0.00,215498.68,0.00,0.00,215000.00,0.00,2025-04-01 10:56:01.434+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:15.991Z"",""ethsia_pistosi"":230000,""current_quarter"":2,""katanomes_etous"":215000,""available_budget"":215000,""yearly_available"":230000,""quarter_available"":15000}",16
1339,2024ΝΑ85300065,5203815,0.00,14502.40,0.00,14502.40,0.00,0.00,10000.00,0.00,2025-04-01 10:56:01.849+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:16.551Z"",""ethsia_pistosi"":10000,""current_quarter"":2,""katanomes_etous"":10000,""available_budget"":10000,""yearly_available"":10000,""quarter_available"":0}",44
1340,2024ΝΑ85300066,5203816,0.00,11000.00,0.00,11000.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:02.277+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:17.136Z"",""ethsia_pistosi"":0,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":0,""quarter_available"":0}",64
1341,2024ΝΑ85300067,5203821,0.00,104936.31,0.00,104936.31,0.00,0.00,70000.00,0.00,2025-04-01 10:56:02.699+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:17.705Z"",""ethsia_pistosi"":70000,""current_quarter"":2,""katanomes_etous"":100000,""available_budget"":100000,""yearly_available"":70000,""quarter_available"":20000}",68
1342,2024ΝΑ85300068,5203822,0.00,11000.00,0.00,11000.00,0.00,0.00,10000.00,0.00,2025-04-01 10:56:03.11+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:18.275Z"",""ethsia_pistosi"":10000,""current_quarter"":2,""katanomes_etous"":10000,""available_budget"":10000,""yearly_available"":10000,""quarter_available"":0}",20
1343,2024ΝΑ85300031,5174090,0.00,44000.00,0.00,44000.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:03.502+00,2025-07-04 10:15:48.61412+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:19.981Z"",""ethsia_pistosi"":0,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":0,""quarter_available"":0}",180
1344,2024ΝΑ85300032,5201404,0.00,110000.00,0.00,110000.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:03.913+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:20.570Z"",""ethsia_pistosi"":100000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":100000,""quarter_available"":30000}",140
1345,2024ΝΑ85300033,5188992,0.00,32577.06,0.00,32577.06,0.00,0.00,20000.00,0.00,2025-04-01 10:56:04.316+00,2025-07-04 10:25:17.353228+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:21.132Z"",""ethsia_pistosi"":40000,""current_quarter"":2,""katanomes_etous"":20000,""available_budget"":20000,""yearly_available"":40000,""quarter_available"":20000}",137
1346,2024ΝΑ85300034,5185579,0.00,110000.00,0.00,110000.00,0.00,0.00,10000.00,0.00,2025-04-01 10:56:04.709+00,2025-07-04 10:18:25.310932+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:21.696Z"",""ethsia_pistosi"":110000,""current_quarter"":2,""katanomes_etous"":10000,""available_budget"":10000,""yearly_available"":110000,""quarter_available"":0}",42
1347,2024ΝΑ85300035,5174689,0.00,49321.81,0.00,49321.81,0.00,0.00,10000.00,0.00,2025-04-01 10:56:05.119+00,2025-07-04 10:16:15.855974+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:22.276Z"",""ethsia_pistosi"":20000,""current_quarter"":2,""katanomes_etous"":10000,""available_budget"":10000,""yearly_available"":20000,""quarter_available"":10000}",185
1348,2024ΝΑ85300036,5174126,0.00,11000.00,0.00,11000.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:05.536+00,2025-07-04 10:16:00.932289+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:22.844Z"",""ethsia_pistosi"":11000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":11000,""quarter_available"":0}",23
1349,2024ΝΑ85300037,5188987,0.00,11000.00,0.00,11000.00,0.00,0.00,5000.00,0.00,2025-04-01 10:56:05.945+00,2025-07-04 10:23:41.618091+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:23.620Z"",""ethsia_pistosi"":10000,""current_quarter"":2,""katanomes_etous"":5000,""available_budget"":5000,""yearly_available"":10000,""quarter_available"":5000}",57
1350,2024ΝΑ85300069,5203823,0.00,1553399.74,0.00,1553399.74,0.00,0.00,700000.00,0.00,2025-04-01 10:56:06.361+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:18.845Z"",""ethsia_pistosi"":1403399.74,""current_quarter"":2,""katanomes_etous"":700000,""available_budget"":700000,""yearly_available"":1403399.74,""quarter_available"":0}",63
1351,2024ΝΑ85300070,5203824,0.00,935000.00,0.00,935000.00,0.00,0.00,0.00,0.00,2025-04-01 10:56:06.776+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:19.411Z"",""ethsia_pistosi"":180000,""current_quarter"":2,""katanomes_etous"":0,""available_budget"":0,""yearly_available"":180000,""quarter_available"":100000}",33
1352,2024ΝΑ85300071,5203826,0.00,33000.00,0.00,33000.00,0.00,0.00,10000.00,0.00,2025-04-01 10:56:07.185+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:24.243Z"",""ethsia_pistosi"":40000,""current_quarter"":2,""katanomes_etous"":10000,""available_budget"":10000,""yearly_available"":40000,""quarter_available"":10000}",115
1353,2024ΝΑ85300072,5203828,0.00,130272.85,0.00,130272.85,0.00,0.00,100000.00,0.00,2025-04-01 10:56:07.602+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:24.838Z"",""ethsia_pistosi"":100000,""current_quarter"":2,""katanomes_etous"":100000,""available_budget"":100000,""yearly_available"":100000,""quarter_available"":0}",46
1354,2024ΝΑ85300073,5203829,0.00,44000.00,0.00,44000.00,0.00,0.00,30000.00,0.00,2025-04-01 10:56:08.005+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:25.430Z"",""ethsia_pistosi"":50000,""current_quarter"":2,""katanomes_etous"":44000,""available_budget"":44000,""yearly_available"":50000,""quarter_available"":10000}",186
1355,2024ΝΑ85300074,5203830,0.00,88000.00,0.00,88000.00,0.00,0.00,50000.00,0.00,2025-04-01 10:56:08.405+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:26.012Z"",""ethsia_pistosi"":100000,""current_quarter"":2,""katanomes_etous"":50000,""available_budget"":50000,""yearly_available"":100000,""quarter_available"":50000}",75
1356,2024ΝΑ85300075,5203831,0.00,33000.00,0.00,33000.00,0.00,0.00,20000.00,0.00,2025-04-01 10:56:08.81+00,2025-07-04 10:30:12.898623+00,q2,"{""user_view"":0,""updated_at"":""2025-06-17T05:02:26.579Z"",""ethsia_pistosi"":20000,""current_quarter"":2,""katanomes_etous"":20000,""available_budget"":20000,""yearly_available"":20000,""quarter_available"":0}",72
