project_index_id,region_code
4,1
6,1
6,9
7,1
8,1
9,1
10,1
11,1
12,1
17,1
22,1
28,1
29,1
30,1
31,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
42,1
43,1
44,1
45,1
46,1
47,1
51,1
58,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
94,1
97,1
99,1
100,1
101,1
103,1
104,1
105,1
108,1
108,5
109,1
110,1
112,1
114,1
115,1
120,1
124,1
125,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
138,1
139,1
140,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
170,1
171,1
171,9
174,1
175,1
180,1
187,1
189,1
190,1
191,1
201,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
218,1
219,1
220,1
223,1
224,1
225,1
230,1
231,1
234,1
235,1
236,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
251,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
274,5
275,1
277,1
279,1
280,1
285,1
287,1
288,1
289,1
290,1
291,1
292,1
295,1
296,1
297,1
298,1
300,1
302,1
308,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
324,1
325,1
327,1
329,1
330,1
331,1
333,1
334,1
335,1
339,1
340,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
352,1
353,1
355,1
356,1
362,1
364,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
384,1
385,1
386,1
388,1
393,1
394,1
396,1
397,1
400,1
402,1
404,1
405,1
406,1
408,1
413,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
430,1
432,1
437,1
438,1
438,9
439,1
441,1
442,1
446,1
452,1
453,1
454,1
455,1
456,1
458,1
462,1
465,1
466,1
467,1
468,1
469,1
471,1
472,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
495,1
496,1
497,1
498,1
499,1
499,5
500,1
500,5
501,1
504,1
509,1
511,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
521,1
524,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
546,1
547,1
947,6
947,8
948,6
948,8
949,6
949,8
950,6
950,8
959,5
960,5
961,5
962,5
963,1
963,5
982,13
984,12
985,12
986,12
987,12
1036,2
1037,2
1038,2
1039,2
1060,7
1061,7
1062,7
1063,7
1064,7
1065,7
1066,7
1067,7
1068,7
1073,4
1074,4
1075,4
1076,4
1077,2
1078,2
1079,2
1080,2
1097,13
1098,13
1099,13
1100,13
1101,3
1102,3
1103,3
1104,3
1125,1
1126,1
1127,1
1128,1
1141,12
1142,12
1143,12
1144,12
1153,2
1154,2
1155,2
1156,2
1165,13
1166,13
1167,13
1168,13
1177,8
1178,8
1179,8
1180,8
1197,10
1198,10
1199,10
1200,10
1201,9
1202,9
1203,9
1204,9
1205,13
1206,13
1207,13
1208,13
1213,7
1214,7
1215,7
1216,7
1241,7
1242,7
1243,7
1244,7
1245,9
1246,9
1247,9
1248,9
1249,9
1250,9
1251,9
1252,9
1277,8
1278,8
1279,8
1280,8
1285,8
1286,8
1287,8
1288,8
1309,7
1309,10
1310,7
1310,10
1311,7
1311,10
1312,7
1312,10
1330,9
1339,13
1340,13
1341,13
1342,13
1351,10
1352,10
1353,10
1354,10
1379,8
1379,9
1380,8
1380,9
1381,8
1381,9
1382,8
1382,9
1387,9
1388,9
1389,9
1390,9
1391,1
1392,1
1393,1
1394,1
1411,7
1412,7
1413,7
1414,7
1419,8
1420,8
1421,8
1422,8
1423,6
1424,6
1425,6
1426,6
1439,8
1440,8
1441,8
1442,8
1451,13
1452,13
1453,13
1454,13
1459,9
1460,9
1461,9
1462,9
1463,5
1464,5
1465,5
1466,5
1471,8
1472,8
1473,8
1474,8
1491,11
1492,11
1493,11
1494,11
1499,7
1500,7
1501,7
1502,7
1503,9
1504,9
1505,9
1506,9
1507,8
1508,8
1509,8
1510,8
1539,7
1540,7
1541,7
1542,7
1559,9
1560,9
1561,9
1562,9
1567,9
1568,9
1569,9
1570,9
1571,9
1572,9
1573,9
1574,9
1586,1
1586,9
1597,1
1598,1
1599,1
1600,1
1621,5
1622,5
1623,5
1624,5
1637,7
1638,7
1639,7
1640,7
1653,13
1654,13
1655,13
1656,13
1657,13
1658,13
1659,13
1660,13
1717,7
1718,7
1719,7
1720,7
1749,5
1750,5
1751,5
1752,5
1757,5
1758,5
1759,5
1760,5
1768,1
1772,3
1773,3
1774,3
1775,4
1785,6
1785,7
1785,10
1786,6
1786,7
1786,10
1787,6
1787,7
1787,10
1794,5
1795,5
1796,5
1805,11
1806,11
1807,11
1808,11
1809,4
1810,4
1811,4
1812,4
1845,7
1845,10
1846,7
1846,10
1847,7
1847,10
1848,7
1848,10
1877,3
1878,3
1879,3
1880,3
1891,3
1892,3
1893,3
1906,7
1907,7
1908,7
1909,7
1918,12
1919,12
1920,12
1921,12
1930,7
1930,8
1931,7
1931,8
1932,7
1932,8
1933,7
1933,8
1938,11
1939,11
1940,11
1941,8
1942,8
1943,8
1944,8
1953,3
1954,3
1955,3
1963,6
1964,6
1971,6
1979,3
1980,3
1981,3
1989,7
1990,7
1991,7
1992,7
1997,1
1998,1
1999,1
2000,1
2001,4
2001,8
2002,4
2002,8
2003,4
2003,8
2004,4
2004,8
2009,7
2010,7
2011,7
2012,7
2101,13
2102,13
2103,13
2104,13
2165,6
2165,7
2166,6
2166,7
2167,6
2167,7
2168,6
2168,7
2181,7
2182,7
2183,7
2184,7
2245,9
2246,9
2247,9
2248,9
2297,7
2298,7
2299,7
2300,7
2309,7
2310,7
2311,7
2312,7
2325,2
2326,2
2327,2
2328,2
2353,5
2353,10
2354,5
2354,10
2355,5
2355,10
2356,5
2356,10
2373,10
2374,10
2375,10
2376,10
2381,11
2382,11
2387,7
2388,7
2389,7
2390,7
2395,1
2396,1
2397,1
2398,1
2427,2
2427,3
2428,2
2428,3
2429,2
2429,3
2430,2
2430,3
2439,5
2439,10
2440,5
2440,10
2441,5
2441,10
2442,5
2442,10
2451,7
2452,7
2453,7
2454,7
2459,7
2460,7
2461,7
2462,7
2463,8
2464,8
2465,8
2466,8
2475,12
2476,12
2503,3
2503,4
2504,3
2504,4
2505,3
2505,4
2535,2
2536,2
2537,2
2538,2
2547,2
2548,2
2549,2
2550,2
2555,13
2556,13
2557,13
2558,13
2563,2
2564,2
2565,2
2566,2
2567,13
2568,13
2569,13
2570,13
2575,8
2576,8
2577,8
2578,8
2627,4
2627,6
2627,7
2628,4
2628,6
2628,7
2629,4
2629,6
2629,7
2630,4
2630,6
2630,7
2667,9
2667,10
2668,9
2668,10
2669,9
2669,10
2670,9
2670,10
