project_id,monada_id,kallikratis_id,event_types_id,expediture_type_id,geographic_code,id
1,1,1,10,5,,556
1,4,1,10,1,,555
1,4,1,10,3,,351
1,4,1,10,4,,232
2,5,123,10,1,9123,551
2,5,123,10,2,9123,553
2,5,123,10,3,9123,552
3,5,243,10,1,9243,434
3,5,243,10,3,9243,435
3,5,243,10,4,9243,436
5,1,120,10,3,9120,554
6,1,1,10,1,9261,449
6,1,1,10,3,9261,448
6,1,1,10,4,9261,450
7,5,243,10,1,9243,549
7,5,243,10,3,9243,548
7,5,243,10,4,9243,550
9,11,1,10,1,,457
10,11,1,10,1,,451
11,11,1,10,1,,454
12,11,1,10,1,,458
13,11,1,10,1,,452
14,11,1,10,1,,455
15,11,1,10,1,,459
17,11,1,10,1,,456
18,11,1,10,1,,561
19,11,1,10,1,,453
22,4,1,10,1,,105
22,4,1,10,3,,275
22,4,1,10,4,,104
22,4,1,10,5,,437
23,4,1,10,1,,3
23,4,1,10,3,,167
23,4,1,10,4,,2
23,4,1,10,5,,169
25,2,1,10,1,,108
25,2,1,10,3,,499
25,2,1,10,4,,500
25,2,1,10,5,,274
26,4,1,13,1,,388
26,4,1,13,3,,170
26,4,1,13,4,,501
26,4,1,13,5,,329
27,5,1,8,1,,222
27,5,1,8,3,,113
27,5,1,8,4,,276
27,5,1,8,5,,387
28,4,1,13,1,,382
28,4,1,13,3,,330
28,4,1,13,4,,109
28,4,1,13,5,,11
29,2,1,7,2,,4
29,2,1,12,2,,334
30,1,1,10,1,,278
30,1,1,10,3,,502
30,1,1,10,4,,5
30,1,1,10,5,,383
31,4,1,10,1,,7
31,4,1,10,3,,384
31,4,1,10,4,,439
31,4,1,10,5,,277
32,2,1,10,1,,171
32,2,1,10,3,,6
32,2,1,10,4,,438
34,4,1,10,1,,224
34,4,1,10,3,,114
34,4,1,10,4,,223
34,4,1,10,5,,110
35,5,1,10,1,,225
35,5,1,10,3,,12
35,5,1,10,4,,331
35,5,1,10,5,,175
36,2,1,13,1,640,557
36,2,1,13,3,640,233
36,2,1,13,4,640,558
37,1,1,22,6,640,559
37,2,1,22,6,640,560
42,5,1,10,1,,111
42,5,1,10,3,,173
42,5,1,10,4,,172
42,5,1,10,5,,332
45,5,1,8,1,,112
45,5,1,8,3,,335
45,5,1,8,4,,279
45,5,1,8,5,,385
47,2,1,10,1,,10
47,2,1,10,3,,280
47,2,1,10,4,,9
47,2,1,10,5,,174
48,2,1,10,1,,333
48,2,1,10,3,,442
48,2,1,10,4,,441
48,2,1,10,5,,115
49,2,1,7,2,,386
49,2,1,13,2,,8
50,2,1,12,1,,176
50,2,1,12,3,,503
50,2,1,12,4,,226
50,2,1,12,5,,440
51,2,1,12,1,,229
51,2,1,12,3,,13
51,2,1,12,4,,25
51,2,1,12,5,,281
52,5,1,7,2,,285
52,5,1,12,2,,504
54,7,1,3,1,,116
54,7,1,3,3,,177
54,7,1,3,4,,389
54,7,1,3,5,,19
55,2,1,10,1,,337
55,2,1,10,3,,336
55,2,1,10,4,,390
55,2,1,10,5,,14
56,1,1,10,1,,15
56,1,1,10,3,,282
56,1,1,10,4,,338
56,1,1,10,5,,227
57,7,1,12,1,,443
57,7,1,12,3,,16
57,7,1,12,4,,445
57,7,1,12,5,,391
59,2,277,13,1,277,106
59,2,277,13,3,277,1
59,2,277,13,4,277,168
59,2,277,13,5,277,107
60,2,1,12,1,,179
60,2,1,12,3,,505
60,2,1,12,4,,121
60,2,1,12,5,,118
61,7,1,7,2,,17
61,7,1,12,2,,393
62,5,1,12,1,,178
62,5,1,12,3,,506
62,5,1,12,4,,18
62,5,1,12,5,,460
65,4,1,10,1,,444
65,4,1,10,3,,117
65,4,1,10,4,,341
65,4,1,10,5,,26
66,2,1,7,2,,446
66,2,1,10,2,,339
67,5,1,12,1,,181
67,5,1,12,3,,119
67,5,1,12,4,,507
67,5,1,12,5,,228
69,4,1,10,1,,283
69,4,1,10,3,,21
69,4,1,10,4,,23
69,4,1,10,5,,20
70,2,1,12,1,,509
70,2,1,12,3,,120
70,2,1,12,4,,180
70,2,1,12,5,,340
71,7,1,8,1,,27
71,7,1,8,3,,24
71,7,1,8,4,,392
71,7,1,8,5,,284
73,2,1,7,2,,394
73,2,1,12,2,,22
74,1,1,13,1,,508
74,1,1,13,3,,122
74,1,1,13,4,,447
74,1,1,13,5,,286
76,2,1,8,1,,293
76,2,1,8,3,,182
76,2,1,8,4,,401
76,2,1,8,5,,510
77,4,1,16,1,,188
77,4,1,16,3,,342
77,4,1,16,4,,123
77,4,1,16,5,,461
78,2,1,10,1,,287
78,2,1,10,3,,343
78,2,1,10,4,,288
78,2,1,10,5,,231
80,1,1,10,1,,511
80,1,1,10,3,,396
80,1,1,10,4,,28
80,1,1,10,5,,230
81,4,1,3,1,,183
81,4,1,3,3,,464
81,4,1,3,4,,185
81,4,1,3,5,,395
82,2,1,10,1,,131
82,2,1,10,3,,347
82,2,1,10,4,,397
82,2,1,10,5,,29
83,2,1,13,1,,124
83,2,1,13,3,,234
83,2,1,13,4,,125
83,2,1,13,5,,31
85,2,1,12,1,,184
85,2,1,12,3,,32
85,2,1,12,4,,186
85,2,1,12,5,,126
86,2,1,12,1,,344
86,2,1,12,3,,30
86,2,1,12,4,,235
86,2,1,12,5,,468
87,4,1,10,1,,463
87,4,1,10,3,,512
87,4,1,10,4,,399
87,4,1,10,5,,398
88,5,1,7,2,,345
88,5,1,12,2,,462
89,2,1,7,2,,132
89,2,1,12,2,,289
90,11,1,7,2,,294
90,11,1,13,2,,237
91,2,1,10,1,,346
91,2,1,10,3,,127
91,2,1,10,4,,33
91,2,1,10,5,,239
92,4,1,12,1,,128
92,4,1,12,3,,291
92,4,1,12,4,,466
92,4,1,12,5,,37
93,4,1,3,1,,236
93,4,1,3,3,,238
93,4,1,3,4,,35
93,4,1,3,5,,36
94,2,1,10,1,,400
94,2,1,10,3,,469
94,2,1,10,4,,516
94,2,1,10,5,,513
95,4,1,10,1,,189
95,4,1,10,3,,187
95,4,1,10,4,,402
95,4,1,10,5,,40
96,4,1,16,1,,295
96,4,1,16,3,,290
96,4,1,16,4,,514
96,4,1,16,5,,292
97,2,1,8,1,,348
97,2,1,8,3,,465
97,2,1,8,4,,34
97,2,1,8,5,,38
99,2,1,7,2,,39
99,2,1,12,2,,515
100,7,1,12,1,,467
100,7,1,12,3,,240
100,7,1,12,4,,129
100,7,1,12,5,,130
101,11,1,13,1,,49
101,11,1,13,3,,403
101,11,1,13,4,,470
102,7,1,7,2,,41
102,7,1,12,2,,193
103,7,1,7,2,,133
103,7,1,10,2,,517
104,7,1,12,1,,349
104,7,1,12,3,,241
104,7,1,12,4,,42
104,7,1,12,5,,242
105,7,1,8,1,,518
105,7,1,8,3,,350
105,7,1,8,4,,44
105,7,1,8,5,,404
106,2,1,12,1,,405
106,2,1,12,3,,190
106,2,1,12,4,,43
106,2,1,12,5,,298
107,2,1,12,1,,519
107,2,1,12,3,,406
107,2,1,12,4,,296
107,2,1,12,5,,134
113,2,1,3,1,,46
113,2,1,3,3,,297
113,2,1,3,4,,408
113,2,1,3,5,,352
114,2,1,13,1,,472
114,2,1,13,3,,353
114,2,1,13,4,,135
114,2,1,13,5,,45
118,11,1,10,1,,357
118,11,1,10,3,,354
118,11,1,10,4,,520
119,11,1,10,1,,194
119,11,1,10,3,,301
119,11,1,10,4,,136
120,2,1,5,1,,47
120,2,1,5,2,,139
120,2,1,5,3,,246
120,2,1,5,4,,302
120,2,1,6,1,,243
120,2,1,6,2,,138
120,2,1,6,3,,300
120,2,1,6,4,,191
121,11,1,3,1,,48
121,11,1,3,3,,299
121,11,1,3,4,,50
122,11,1,10,1,,192
122,11,1,10,3,,137
122,11,1,10,4,,407
123,4,1,7,2,,356
123,4,1,12,2,,521
124,2,1,7,2,,247
124,2,1,10,2,,244
125,1,1,3,1,,355
125,1,1,3,3,,245
125,1,1,3,4,,471
125,1,1,3,5,,51
126,2,1,7,2,,70
126,2,1,10,2,,140
127,2,1,12,1,,248
127,2,1,12,3,,143
127,2,1,12,4,,358
127,2,1,12,5,,310
128,4,1,10,1,,522
128,4,1,10,3,,409
128,4,1,10,4,,52
128,4,1,10,5,,141
129,2,1,12,1,,473
129,2,1,12,3,,359
129,2,1,12,4,,415
129,2,1,12,5,,53
131,5,1,12,1,,249
131,5,1,12,3,,195
131,5,1,12,4,,54
131,5,1,12,5,,55
132,2,1,10,1,,303
132,2,1,10,3,,255
132,2,1,10,4,,56
132,2,1,10,5,,304
133,7,1,12,1,,474
133,7,1,12,3,,57
133,7,1,12,4,,475
133,7,1,12,5,,142
134,2,1,8,1,,361
134,2,1,8,3,,196
134,2,1,8,4,,197
134,2,1,8,5,,311
135,6,1,12,1,,250
135,6,1,12,3,,68
135,6,1,12,4,,306
135,6,1,12,5,,410
136,2,1,8,1,,360
136,2,1,8,3,,525
136,2,1,8,4,,305
136,2,1,8,5,,60
137,5,1,10,1,,480
137,5,1,10,3,,202
137,5,1,10,4,,411
137,5,1,10,5,,523
138,5,1,12,1,,147
138,5,1,12,3,,524
