project_id,monada_id,event_types_id,expenditure_type_id,id
29,2,7,2,4
32,2,10,3,6
31,4,10,1,7
49,2,13,2,8
47,2,10,4,9
47,2,10,1,10
28,4,13,5,11
35,5,10,3,12
61,7,7,2,17
73,2,12,2,22
80,1,10,4,28
82,2,10,5,29
86,2,12,3,30
83,2,13,5,31
91,2,10,4,33
97,2,8,4,34
93,4,3,4,35
93,4,3,5,36
92,4,12,5,37
97,2,8,5,38
99,2,7,2,39
95,4,10,5,40
104,7,12,4,42
106,2,12,4,43
105,7,8,4,44
114,2,13,5,45
113,2,3,1,46
120,2,5,1,47
125,1,3,5,51
138,5,12,4,58
126,2,7,2,70
153,2,10,1,71
152,4,16,5,72
153,2,10,3,73
155,4,10,4,74
157,2,8,1,75
157,2,8,4,76
160,2,10,4,77
158,5,10,3,78
157,2,8,5,79
162,4,3,5,80
164,8,10,1,81
162,4,3,1,82
166,2,8,3,83
165,5,3,4,84
169,5,10,3,85
164,8,10,4,86
173,4,10,3,87
174,2,10,4,88
175,11,13,5,89
165,5,3,1,90
169,5,10,5,91
174,2,10,3,92
179,5,10,4,94
181,4,10,5,97
190,2,13,1,99
192,5,13,5,100
190,2,13,5,101
190,2,13,3,103
22,4,10,4,104
22,4,10,1,105
25,2,10,1,108
28,4,13,4,109
34,4,10,5,110
45,5,8,1,112
34,4,10,3,114
48,2,10,5,115
70,2,12,3,120
83,2,13,1,124
83,2,13,4,125
91,2,10,3,127
92,4,12,1,128
100,7,12,4,129
100,7,12,5,130
82,2,10,1,131
89,2,7,2,132
103,7,7,2,133
107,2,12,5,134
114,2,13,4,135
120,2,6,2,138
120,2,5,2,139
126,2,10,2,140
138,5,12,1,147
146,4,10,4,148
155,4,10,1,149
158,5,10,5,150
160,2,10,5,151
163,4,10,5,152
167,5,3,4,153
172,2,8,4,154
171,5,12,3,155
161,4,10,5,156
151,2,10,1,157
169,5,10,1,158
176,6,13,5,159
178,7,10,5,160
182,4,10,1,161
26,4,13,3,170
32,2,10,1,171
47,2,10,5,174
35,5,10,5,175
70,2,12,4,180
95,4,10,3,187
95,4,10,1,189
106,2,12,3,190
120,2,6,4,191
146,4,10,3,201
148,10,8,3,203
151,2,10,3,204
154,1,10,5,205
153,2,10,4,206
161,4,10,4,207
165,5,3,5,208
161,4,10,3,209
171,5,12,4,210
172,2,8,3,211
167,5,3,3,212
175,11,13,3,213
171,5,12,1,214
176,6,13,4,215
179,5,10,1,216
187,2,10,4,218
193,5,12,1,219
192,5,13,1,220
34,4,10,4,223
34,4,10,1,224
35,5,10,1,225
80,1,10,5,230
78,2,10,5,231
83,2,13,3,234
86,2,12,4,235
93,4,3,1,236
93,4,3,3,238
91,2,10,5,239
100,7,12,3,240
104,7,12,3,241
104,7,12,5,242
120,2,6,1,243
124,2,10,2,244
125,1,3,3,245
120,2,5,3,246
124,2,7,2,247
138,5,12,5,251
156,5,13,3,257
158,5,10,1,258
160,2,10,3,259
168,2,10,1,260
171,5,12,5,261
159,2,10,5,262
173,4,10,4,263
172,2,8,1,264
163,4,10,3,265
174,2,10,5,266
179,5,10,5,267
179,5,10,3,268
182,4,10,3,269
182,4,10,5,270
187,2,10,5,271
187,2,10,1,272
176,6,13,1,273
25,2,10,5,274
22,4,10,3,275
31,4,10,5,277
45,5,8,4,279
47,2,10,3,280
52,5,7,2,285
78,2,10,1,287
78,2,10,4,288
89,2,12,2,289
96,4,16,3,290
92,4,12,3,291
96,4,16,5,292
96,4,16,1,295
107,2,12,4,296
113,2,3,3,297
106,2,12,5,298
120,2,6,3,300
120,2,5,4,302
