project_id,monada_id,kallikratis_id,event_types_id,expediture_type_id
1,2,2,10,3
1,2,7,10,4
1,2,5001,10,1
1,2,5001,10,5
2,5,5001,10,1
2,5,5001,10,3
2,5,5001,10,4
2,5,5001,10,5
3,1,5001,10,1
3,1,5001,10,3
3,1,5001,10,4
3,1,5001,10,5
4,2,5001,13,1
4,2,5001,13,3
4,2,5001,13,4
4,2,5001,13,5
5,5,5001,10,1
5,5,5001,10,3
5,5,5001,10,4
5,5,5001,10,5
6,4,5001,13,1
6,4,5001,13,3
6,4,5001,13,4
6,4,5001,13,5
7,5,5001,12,1
7,5,5001,12,3
7,5,5001,12,4
7,5,5001,12,5
8,4,5001,16,1
8,4,5001,16,3
8,4,5001,16,4
8,4,5001,16,5
9,2,5001,12,1
9,2,5001,12,3
9,2,5001,12,4
9,2,5001,12,5
10,4,5001,12,1
10,4,5001,12,3
10,4,5001,12,4
10,4,5001,12,5
11,5,5001,7,2
11,5,5001,12,2
12,6,5001,12,1
12,6,5001,12,3
12,6,5001,12,4
12,6,5001,12,5
13,5,5001,10,1
13,5,5001,10,3
13,5,5001,10,4
13,5,5001,10,5
14,4,5001,8,1
14,4,5001,8,3
14,4,5001,8,4
14,4,5001,8,5
15,5,5001,10,1
15,5,5001,10,3
15,5,5001,10,4
15,5,5001,10,5
16,11,5001,13,1
16,11,5001,13,3
16,11,5001,13,4
17,4,5001,8,1
17,4,5001,8,3
17,4,5001,8,4
17,4,5001,8,5
18,5,5001,10,1
18,5,5001,10,3
18,5,5001,10,4
18,5,5001,10,5
19,2,5001,7,2
19,2,5001,13,2
20,11,5001,13,1
20,11,5001,13,3
20,11,5001,13,4
21,1,5001,4,5
21,1,5001,6,5
22,4,5001,10,1
22,4,5001,10,3
22,4,5001,10,4
22,4,5001,10,5
23,4,5001,10,1
23,4,5001,10,3
23,4,5001,10,4
23,4,5001,10,5
24,2,5001,10,1
24,2,5001,10,3
24,2,5001,10,4
24,2,5001,10,5
25,2,5001,10,1
25,2,5001,10,3
25,2,5001,10,4
25,2,5001,10,5
26,4,5001,13,1
26,4,5001,13,3
26,4,5001,13,4
26,4,5001,13,5
27,5,5001,8,1
27,5,5001,8,3
27,5,5001,8,4
27,5,5001,8,5
28,4,5001,13,1
28,4,5001,13,3
28,4,5001,13,4
28,4,5001,13,5
29,2,5001,7,2
29,2,5001,12,2
30,1,5001,10,1
30,1,5001,10,3
30,1,5001,10,4
30,1,5001,10,5
31,4,5001,10,1
31,4,5001,10,3
31,4,5001,10,4
31,4,5001,10,5
32,2,5001,10,1
32,2,5001,10,3
32,2,5001,10,4
33,2,5001,13,6
34,4,5001,10,1
34,4,5001,10,3
34,4,5001,10,4
34,4,5001,10,5
35,5,5001,10,1
35,5,5001,10,3
35,5,5001,10,4
35,5,5001,10,5
36,2,5001,13,1
36,2,5001,13,3
36,2,5001,13,4
37,1,5001,6,6
37,1,5001,9,6
37,1,5001,13,6
39,11,5001,13,1
39,11,5001,13,3
39,11,5001,13,4
40,2,5001,6,1
40,2,5001,6,3
40,2,5001,6,4
40,2,5001,17,1
40,2,5001,17,3
40,2,5001,17,4
41,11,5001,13,1
41,11,5001,13,3
41,11,5001,13,4
42,5,5001,10,1
42,5,5001,10,3
42,5,5001,10,4
42,5,5001,10,5
43,11,5001,13,1
43,11,5001,13,3
43,11,5001,13,4
44,11,5001,13,1
44,11,5001,13,3
44,11,5001,13,4
45,5,5001,8,1
45,5,5001,8,3
45,5,5001,8,4
45,5,5001,8,5
46,11,5001,13,1
46,11,5001,13,3
46,11,5001,13,4
47,2,5001,10,1
47,2,5001,10,3
47,2,5001,10,4
47,2,5001,10,5
48,2,5001,10,1
48,2,5001,10,3
48,2,5001,10,4
48,2,5001,10,5
49,2,5001,7,2
49,2,5001,13,2
50,2,5001,12,1
50,2,5001,12,3
50,2,5001,12,4
50,2,5001,12,5
51,2,5001,12,1
51,2,5001,12,3
51,2,5001,12,4
51,2,5001,12,5
52,5,5001,7,2
52,5,5001,12,2
54,7,5001,3,1
54,7,5001,3,3
54,7,5001,3,4
54,7,5001,3,5
55,2,5001,10,1
55,2,5001,10,3
55,2,5001,10,4
55,2,5001,10,5
56,1,5001,10,1
56,1,5001,10,3
56,1,5001,10,4
56,1,5001,10,5
57,7,5001,12,1
57,7,5001,12,3
57,7,5001,12,4
57,7,5001,12,5
58,2,5001,13,1
58,2,5001,13,3
58,2,5001,13,4
58,2,5001,13,5
59,2,5001,13,1
59,2,5001,13,3
59,2,5001,13,4
59,2,5001,13,5
60,2,5001,12,1
60,2,5001,12,3
60,2,5001,12,4
60,2,5001,12,5
61,7,5001,7,2
61,7,5001,12,2
62,5,5001,12,1
62,5,5001,12,3
62,5,5001,12,4
62,5,5001,12,5
64,2,5001,13,1
64,2,5001,13,3
64,2,5001,13,4
64,2,5001,13,5
65,4,5001,10,1
65,4,5001,10,3
65,4,5001,10,4
65,4,5001,10,5
66,2,5001,7,2
66,2,5001,10,2
67,5,5001,12,1
67,5,5001,12,3
67,5,5001,12,4
67,5,5001,12,5
68,2,5001,13,1
68,2,5001,13,3
68,2,5001,13,4
68,2,5001,13,5
69,4,5001,10,1
69,4,5001,10,3
69,4,5001,10,4
69,4,5001,10,5
70,2,5001,12,1
70,2,5001,12,3
70,2,5001,12,4
70,2,5001,12,5
71,7,5001,8,1
71,7,5001,8,3
71,7,5001,8,4
71,7,5001,8,5
72,2,5001,13,1
72,2,5001,13,3
72,2,5001,13,4
72,2,5001,13,5
73,2,5001,7,2
73,2,5001,12,2
74,1,5001,13,1
74,1,5001,13,3
74,1,5001,13,4
74,1,5001,13,5
75,2,5001,8,1
75,2,5001,8,3
75,2,5001,8,4
75,2,5001,8,5
76,2,5001,8,1
76,2,5001,8,3
76,2,5001,8,4
76,2,5001,8,5
77,4,5001,16,1
77,4,5001,16,3
77,4,5001,16,4
77,4,5001,16,5
78,2,5001,10,1
78,2,5001,10,3
78,2,5001,10,4
78,2,5001,10,5
80,1,5001,10,1
80,1,5001,10,3
80,1,5001,10,4
80,1,5001,10,5
81,4,5001,3,1
81,4,5001,3,3
81,4,5001,3,4
81,4,5001,3,5
82,2,5001,10,1
82,2,5001,10,3
82,2,5001,10,4
82,2,5001,10,5
83,2,5001,13,1
83,2,5001,13,3
83,2,5001,13,4
83,2,5001,13,5
84,11,5001,13,1
84,11,5001,13,3
84,11,5001,13,4
85,2,5001,12,1
85,2,5001,12,3
85,2,5001,12,4
85,2,5001,12,5
86,2,5001,12,1
86,2,5001,12,3
86,2,5001,12,4
86,2,5001,12,5
87,4,5001,10,1
87,4,5001,10,3
87,4,5001,10,4
87,4,5001,10,5
88,5,5001,7,2
88,5,5001,12,2
89,2,5001,7,2
89,2,5001,12,2
90,11,5001,7,2
90,11,5001,13,2
91,2,5001,10,1
91,2,5001,10,3
91,2,5001,10,4
91,2,5001,10,5
92,4,5001,12,1
92,4,5001,12,3
92,4,5001,12,4
92,4,5001,12,5
93,4,5001,3,1
93,4,5001,3,3
93,4,5001,3,4
93,4,5001,3,5
94,2,5001,10,1
94,2,5001,10,3
94,2,5001,10,4
94,2,5001,10,5
95,4,5001,10,1
95,4,5001,10,3
95,4,5001,10,4
95,4,5001,10,5
96,4,5001,16,1
