MIS,E069,NA271,NA853,Περιγραφή Συμβάντος,Τίτλος έργου,Συμβάν,Έτος εκδήλωσης συμβάντος,Περιφέρεια,Περιφερειακή ενότητα,Δήμος,Φορέας υλοποίησης,Είδος δαπάνης που προκαλείται,ΚΥΑ,ΦΕΚ,ΑΔΑ,Διαδικασίες,"ΑΔΑ
ένταξης στη ΣΑ ΝΑ271","ΑΔΑ
ένταξης στη ΣΑ ΝΑ853",Απόφαση κατάρτισης προϋπολογισμού,Απόφαση χρηματοδότησης,Ποσό κατανομής,"Προϋπολογισμός έργου στο ΠΔΕ
Ε069
(τελευταία κατάρτιση)","Προϋπολογισμός έργου στο ΠΔΕ
ΝΑ271
(τελευταία κατάρτιση)","Προϋπολογισμός έργου στο ΠΔΕ
ΝΑ853
(τελευταία κατάρτιση)"
5203790,2000ΣΕ06900000,2023ΝΑ27100170,2024ΝΑ85300054,1999 σεισμός Αθήνας,Δωρεάν κρατική αρωγή για επισκευές και ανακατασκευές σεισμοπλήκτων κτιρίων από το σεισμό της 07/09/1999 στο Ν. Αττικής (τμ. Ε. 9969000) (π.κ. 2069000),ΣΕΙΣΜΟΣ,1999,ΑΤΤΙΚΗΣ,Π. ΑΤΤΙΚΗΣ,,"ΔΑΕΦΚ-ΚΕ
ΤΑΣ ΑΧΑΡΝΩΝ","ΔΚΑ ΑΥΤΟΣΤΕΓΑΣΗ
ΔΚΑ ΕΠΙΣΚΕΥΗ
ΔΚΑ ΑΝΑΚΑΤΑΣΚΕΥΗ","ΟΙΚ/3751/ΤΠ31/10.9.1999
ΟΙΚ/3992/ΤΠ31/17.9.1999
ΟΙΚ/4194/ΤΠ31/24.9.1999
ΟΙΚ/6181/ΤΠ31/4.11.1999
ΟΙΚ/5140/ΤΠ32/1999
ΟΙΚ/6786/ΤΠ31/16.11.1999
ΟΙΚ/1514/ΤΠ31/15.2.2000
1462/ΤΠ32/0.6.2001
ΟΙΚ/8563/ΤΠ31/31.8.2000","
1712/Β/1999
1769/Β/1999
1787/Β/1999
1993/Β/1999
1900/Β/1999
2038/Β/1999
167/Β/2000
1138/Β/2000",,"1210/Β/2004
800/Β/2006
609/Β/2017",Ρ1ΤΘ465ΧΘΞ-ΖΥΣ,9Π7Μ46ΝΠΙΘ-7ΓΚ,9ΩΜ2Η-ΒΕΒ,ΨΕ8ΝΗ-4Η2,"10.000,00 €","  126.349.337,58  € ","  2.987.473,24  € ","  2.987.473,24  € "
5203792,2000ΣΕ06900004,2023ΝΑ27100172,2024ΝΑ85300164,1999 λειτουργικές δαπάνες σεισμού Αθήνας,"Γενικές λειτουργικές δαπάνες, μισθώσεις ακινήτων, μηχανημάτων κ.λπ. σχετιζόμενες με το σεισμό της 07/09/1999 στο Ν. Αττικής (τμ. Ε. 9969000) (π.κ. 2069000)",ΕΙΔΙΚΟ ΕΡΓΟ/ΛΕΙΤ. ΔΑΠ./ΣΕΙΣΜΟΣ,1999,ΑΤΤΙΚΗΣ,Π. ΑΤΤΙΚΗΣ,,"ΓΔΑΕΦΚ
ΔΑΕΦΚ-ΚΕ",ΣΥΜΒΑΤΙΚΕΣ ΥΠΟΧΡΕΩΣΕΙΣ,,,,,Ρ1ΤΘ465ΧΘΞ-ΖΥΣ,9ΣΥΒ46ΝΠΙΘ-Ε4Β,9ΩΜ2Η-ΒΕΒ,ΨΕ8ΝΗ-4Η2,"165.000,00 €","  34.542.920,03  € ","  749.384,71  € ","  576.600,00  € "
5203794,2000ΣΕ06900016,2023ΝΑ27100174,2024ΝΑ85300055,1994 σεισμός Φλώρινας,Δωρεάν κρατική αρωγή για επισκευές και ανακατασκευές σεισμοπλήκτων κτιρίων από το σεισμό της 01/09/1994 στο Ν. Φλώρινας (τμ. Ε. 9569001) (π.κ. 2069016),ΣΕΙΣΜΟΣ,1994,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,,ΤΑΣ ΚΟΖΑΝΗΣ,"ΔΚΑ ΑΥΤΟΣΤΕΓΑΣΗ
ΔΚΑ ΕΠΙΣΚΕΥΗ
ΔΚΑ ΑΝΑΚΑΤΑΣΚΕΥΗ",ΠΥΣ 32/23.1.1995,16/Β/1995,,,Ρ1ΤΘ465ΧΘΞ-ΖΥΣ,9Π7Μ46ΝΠΙΘ-7ΓΚ,9ΩΜ2Η-ΒΕΒ,ΨΕ8ΝΗ-4Η2,"20.000,00 €","  7.825.752,02  € ","  420.875,20  € ","  420.875,20  € "
5203795,2000ΣΕ06900019,2023ΝΑ27100175,2024ΝΑ85300056,1996 σεισμός Κόνιτσας,Δωρεάν κρατική αρωγή Κόνιτσας Ν. Ιωαννίνων (Πιν Ο.),ΣΕΙΣΜΟΣ,1996,ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,,ΤΑΣ ΚΟΖΑΝΗΣ,"ΔΚΑ ΑΥΤΟΣΤΕΓΑΣΗ
ΔΚΑ ΕΠΙΣΚΕΥΗ
ΔΚΑ ΑΝΑΚΑΤΑΣΚΕΥΗ",3281/ΤΠ32/6.8.1996,702/Β/1996,,,Ρ1ΤΘ465ΧΘΞ-ΖΥΣ,9Π7Μ46ΝΠΙΘ-7ΓΚ,9ΩΜ2Η-ΒΕΒ,ΨΕ8ΝΗ-4Η2,"10.000,00 €","  3.471.643,43  € ","  102.677,62  € ","  102.677,62  € "
5203796,2000ΣΕ06900022,2023ΝΑ27100176,2024ΝΑ85300057,1999 σεισμός Δυτ. Ελλάδα,"Δωρεάν κρατική αρωγή για επισκευές Ηλείας, Μεσσηνίας και Ζακύνθου (Πιν. Ο)",ΣΕΙΣΜΟΣ,1999,ΔΥΤ. ΕΛΛΑΔΑΣ,"ΗΛΕΙΑΣ
 ΜΕΣΣΗΝΙΑΣ
 ΖΑΚΥΝΘΟΥ",,ΤΑΣ ΜΕΣΣΗΝΙΑΣ,"ΔΚΑ ΑΥΤΟΣΤΕΓΑΣΗ
ΔΚΑ ΕΠΙΣΚΕΥΗ
ΔΚΑ ΑΝΑΚΑΤΑΣΚΕΥΗ",ΥΑΣ/οικ.306/ΤΠ32/30.1.1998,86/Β/1998,,,Ρ1ΤΘ465ΧΘΞ-ΖΥΣ,9Π7Μ46ΝΠΙΘ-7ΓΚ,9ΩΜ2Η-ΒΕΒ,ΨΕ8ΝΗ-4Η2,"10.000,00 €","  18.542.920,03  € ","  534.227,19  € ","  534.227,19  € "
5203797,2000ΣΕ06900025,2023ΝΑ27100177,2024ΝΑ85300160,Γενικό έργο συμβάντων πλην σεισμού,"Δωρεάν κρατική αρωγή για επισκευές και ανακατασκευές κτιρίων από πλημμύρες, κατολισθήσεις, ανεμοστροβίλους και πυρκαγιές στον Ελλαδικό χώρο, δαπ. μετακ. υπαλλήλων καθώς και προμήθεια λυωμένων (π.κ. 2069025)",ΕΙΔΙΚΟ ΕΡΓΟ/ΣΥΜΒΑΝΤΑ,,,ΕΠΙΚΡΑΤΕΙΑ,,"ΔΑΕΦΚ-ΚΕ
ΤΑΠ ΗΛΕΙΑΣ
ΤΑΣ ΑΧΑΪΑΣ
ΤΑΣ ΚΟΖΑΝΗΣ
ΤΑΣ ΜΕΣΣΗΝΙΑΣ","ΔΚΑ ΑΥΤΟΣΤΕΓΑΣΗ
ΔΚΑ ΕΠΙΣΚΕΥΗ
ΔΚΑ ΑΝΑΚΑΤΑΣΚΕΥΗ",,,,,Ρ1ΤΘ465ΧΘΞ-ΖΥΣ,9ΣΥΒ46ΝΠΙΘ-Ε4Β,9ΩΜ2Η-ΒΕΒ,ΨΕ8ΝΗ-4Η2,"50.000,00 €","  35.000.000,00  € ","  8.098.979,58  € ","  8.064.946,39  € "
5203800,2003ΣΕ06900001,2023ΝΑ27100180,2024ΝΑ85300159,2003 σεισμός Λάρισας,"Δαπάνες αποκατάστασης ζημιών από το σεισμό της 09-06-2003 σε περιοχές του Ν. Λάρισας καθώς και δαπ. εξοπλισμού και λειτουργίας υπηρεσιών, μετακ. μηχανικών και λοπές Λ.Δ. (Πιν. Ο)",ΣΕΙΣΜΟΣ,2003,ΘΕΣΣΑΛΙΑΣ,ΛΑΡΙΣΑΣ,,ΤΑΣ ΚΟΖΑΝΗΣ,"ΔΚΑ ΑΥΤΟΣΤΕΓΑΣΗ
ΔΚΑ ΕΠΙΣΚΕΥΗ
ΔΚΑ ΑΝΑΚΑΤΑΣΚΕΥΗ",ΥΑΣ/5004/Α32/21.08.2003,1221/Β/2003,,,Ρ1ΤΘ465ΧΘΞ-ΖΥΣ,9ΣΥΒ46ΝΠΙΘ-Ε4Β,9ΩΜ2Η-ΒΕΒ,ΨΕ8ΝΗ-4Η2,"10.000,00 €","  2.628.740,67  € ","  300.000,00  € ","  300.000,00  € "
5203804,2006ΣΕ06900016,2023ΝΑ27100184,2024ΝΑ85300058,2005 σεισμός Άγιος Ευστράτιος,Δωρεάν κρατική αρωγή για την επισκευή ή ανακατασκευή σεισμοπλήκτων κτιρίων από τους σεισμόυς των 17/10 και 31/10/2005 στο Ανατ. Αιγαίο σε κτίρια της κοινότητας Αγίου Ευστρατίου του Ν. Λέσβου,ΣΕΙΣΜΟΣ,2005,ΒΟΡ. ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ,"ΔΑΕΦΚ-ΚΕ
ΔΑΕΦΚ-ΑΚ","ΔΚΑ ΑΥΤΟΣΤΕΓΑΣΗ
ΔΚΑ ΕΠΙΣΚΕΥΗ
ΔΚΑ ΑΝΑΚΑΤΑΣΚΕΥΗ
ΕΚΤΟΣ ΕΔΡΑΣ*",ΥΑΣ/5979/Α32/17.01.2007,66/Β/2007,,324/Β/2007,Ρ1ΤΘ465ΧΘΞ-ΖΥΣ,9Π7Μ46ΝΠΙΘ-7ΓΚ,9ΩΜ2Η-ΒΕΒ,,"0,00 €","  274.000,00  € ","  81.294,35  € ","  81.294,35  € "
5203805,2007ΣΕ06900000,2023ΝΑ27100185,2024ΝΑ85300059,2007 σεισμός Ιωάννινων,Δωρεάν κρατική αρωγή για την επισκευή ή ανακατασκευή σειμοπλήκτων κτιρίων από το σεισμό της 02/02/2007 σε περιοχές του Ν. Ιωαννίνων,ΣΕΙΣΜΟΣ,2007,ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,,ΔΑΕΦΚ-ΚΕ,"ΔΚΑ ΑΥΤΟΣΤΕΓΑΣΗ
ΔΚΑ ΕΠΙΣΚΕΥΗ
ΔΚΑ ΑΝΑΚΑΤΑΣΚΕΥΗ
ΕΚΤΟΣ ΕΔΡΑΣ*",ΥΑΣ/832/Α32/17.07.2007,1343/Β/2007,,1769/Β/2006,Ρ1ΤΘ465ΧΘΞ-ΖΥΣ,9Π7Μ46ΝΠΙΘ-7ΓΚ,99ΚΧΗ-ΖΣΘ,,"0,00 €","  360.000,00  € ","  202.456,15  € ","  202.456,15  € "
5203807,2007ΣΕ26900000,2023ΝΑ27100187,2024ΝΑ85300060,2007 πυρκαγιές Ηλείας,"Δωρεάν κρατική αρωγή για την επισκευή ή ανακατασκευή πυροπλήκτων κτιρίων από τις πυρκαγιές τους μήνες 06,07 και 08/2007 σε περιοχές των Ν. Ηλείας, Μεσσηνίας, Λακωνίας, Αρκαδίας, Κορινθίας, Ευβοίας, Αττικής, Αιτ/νίας. Μαγνησίας, Αχαΐας, Αργολίδας, Λάρισας, Άρτας, Θεσπρωτίας, Ζακύνθου, Φθιώτιδας, Κεφαλληνίας και Βοιωτίας",ΠΥΡΚΑΓΙΑ,2007,,"ΗΛΕΙΑΣ
ΜΕΣΣΗΝΙΑΣ
ΛΑΚΩΝΙΑΣ
ΑΡΚΑΔΙΑΣ
ΑΧΑΪΑΣ",,"ΤΑΣ ΑΧΑΪΑΣ
ΤΑΣ ΜΕΣΣΗΝΙΑΣ
ΤΑΣ ΛΕΥΚΑΔΑΣ
ΤΑΠ ΗΛΕΙΑΣ","ΔΚΑ ΑΥΤΟΣΤΕΓΑΣΗ
ΔΚΑ ΕΠΙΣΚΕΥΗ
ΔΚΑ ΑΝΑΚΑΤΑΣΚΕΥΗ",ΥΑΣ/οικ.5285/Α32/31.08.2007,1744/Β/2007,,2166/Β/2007,Ρ1ΤΘ465ΧΘΞ-ΖΥΣ,9Π7Μ46ΝΠΙΘ-7ΓΚ,9ΩΜ2Η-ΒΕΒ,ΨΕ8ΝΗ-4Η2,"200.000,00 €","  101.969.692,58  € ","  13.844.282,40  € ","  13.755.170,12  € "
