id,onoma_dimou_koinotitas,kodikos_koinotitas,eidos_koinotitas,kodikos_dimotikis_enotitas,onoma_dimotikis_enotitas,kodikos_neou_ota,eidos_neou_ota,onoma_neou_ota,kodikos_perifereiakis_enotitas,perifereiaki_enotita,kodikos_perifereias,perifereia,code
1,ΑΓΙΟΥ ΑΘΑΝΑΣΙΟΥ,90010101,ΔΗΜ. ΚΟΙΝΟΤ,900101,ΔΟΞΑΤΟΥ,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100101
2,ΔΟΞΑΤΟΥ,90010102,ΔΗΜ. ΚΟΙΝΟΤ,900101,ΔΟΞΑΤΟΥ,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100103
3,ΚΥΡΙΩΝ,90010103,ΔΗΜ. ΚΟΙΝΟΤ,900101,ΔΟΞΑΤΟΥ,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100105
4,ΑΓΟΡΑΣ,90010104,ΤΟΠ. ΚΟΙΝΟΤ,900101,ΔΟΞΑΤΟΥ,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100102
5,ΚΕΦΑΛΑΡΙΟΥ,90010105,ΤΟΠ. ΚΟΙΝΟΤ,900101,ΔΟΞΑΤΟΥ,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100104
6,ΠΗΓΑΔΙΩΝ,90010106,ΤΟΠ. ΚΟΙΝΟΤ,900101,ΔΟΞΑΤΟΥ,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100106
7,ΚΑΛΑΜΠΑΚΙΟΥ,90010201,ΔΗΜ. ΚΟΙΝΟΤ,900102,ΚΑΛΑΜΠΑΚΙΟΥ,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100302
8,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,90010202,ΤΟΠ. ΚΟΙΝΟΤ,900102,ΚΑΛΑΜΠΑΚΙΟΥ,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100301
9,ΚΑΛΑΜΩΝΟΣ,90010203,ΤΟΠ. ΚΟΙΝΟΤ,900102,ΚΑΛΑΜΠΑΚΙΟΥ,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100303
10,ΝΕΡΟΦΡΑΚΤΟΥ,90010204,ΤΟΠ. ΚΟΙΝΟΤ,900102,ΚΑΛΑΜΠΑΚΙΟΥ,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100304
